comments,id,value,user_id
the link to git is not provided .,1163041,1,8049
No test cases have been implemented for any entity.,1170507,1,8107
"Yes, the controllers have been properly tested.",1160758,-1,8107
" There are some tests for the controllers, but it looks like just the scaffold generated tests.",1175447,1,8107
"The team has implemented modules like: Login, signup, logout, List all companies and List all houses. However, they lack in many functionalities and under each module. So they are not properly implemented. They lack validations, session management and things like multiple same email addresses can be registered with different users.   Hence, no the team has not thoroughly tested at least one model or controller.",1168119,1,8107
only the default testcases created by the command are present in the repository.,1163097,1,8107
"There are 24 commits done, however all have been made on one day.",1170508,-1,8107
There are no proper commit messages.,1160759,-1,8107
"No, I just see all commits happened in one day, so I don't think the team has been keeping on pushing their changes.",1158424,-1,8107
" No, there has been only one commit on 10/01.",1175448,-1,8107
"No, The changes were made and pushed only in one particular day. There is no consistent flow on GitHub for pushing.",1168120,1,8107
All the changes were pushed on a single day. the last day of submission.,1163098,-1,8107
Nothing mentioned in readme file. user interface not easy .just provided links for realtor creation. No link for house hunter.,1157881,1,8107
"Basic navigation is missing. For example, Once a user click on the edit profile and tries to navigate, its difficult to return to home page.  There are no details available in the readme file to help with the application flow.",1170454,1,8107
"Readme file is not updated and there are no instructions on how an admin or a house hunter can log in. The UI, though it didn't have any styling, is intuitive and self explanatory.  ",1160705,1,8107
"No, not really. The website just has one role to operate, and the readme file is an auto-generated file, which doesn't include any useful information.",1158370,1,8107
"Nearly all of the links seem to go to the wrong pages. For example, ""Back"" in Viewing Houses took me to a list of Users that had signed up, while logged in as a Realtor.",1175394,1,8107
 Interface is very basic It lacks in many major functionalities that made the navigation through the site difficult. README was not well described to understand the team's work and their functionalities. ,1168066,-1,8107
the README file is not maintained by the developer. The design is not complete. Whatever is done is intuitive but incomplete.,1163044,1,8107
Some indentation issues in the project.For example in index.html.erb indentation is not proper. Splelling mistakes.For example in hunters view in index .html.erb  prefered spelling is wrong.,1157879,1,8107
The ruby coding convention has been followed through out the project.,1170452,-1,8107
"The team followed good practices. No repetition of the code. DRY principles uses. How, there is an empty controller though, which is, the commons_controller.rb. What is its purpose?",1160703,1,8107
"The MVC structure is good, but some details should  be improved.",1158368,-1,8107
 Yeah in a way. The scaffolding generated code follows convention.,1175392,-1,8107
"The code follows the common ""Ruby on rails"" application structure:  Hence, it was easy for me to navigate through other files to see portion of the code. It follows the common MVC structure. However, In some parts of the code, comments were missing which was confusing as I didn't understand the logic for that code. README file was not properly described for other users navigating through app. ",1168064,-1,8107
"The application is modled according to the ruby practices but lacks the use of ruby features such as validations , associations and active record. ",1163042,1,8107
"The code is very well written, properly organised and good architecture. No repetition. Cons Application logic written in controllers, for example, house_controller, which can be ported to the respective models.",1171367,1,8076
The controllers are well-written.,1157936,-1,8076
Requesting to GIT Link to verify the same,1161045,1,8076
"The code follows ""good Ruby and Rails coding practice"" from my point of view.",1156949,-1,8076
Have used DRY principles. The code has good readability and good naming conventions are followed. Have grouped similar functionalities into classes so that it is modularized. Have used iterators such as each instead of for and while.,1163554,-1,8076
UI/UX is awesome and intuitive. Read me file is also well described.,1171369,-1,8076
The README is empty and does not contain the admin account information. It's hard to navigate around the interface and determine where all the functionality is.,1157938,1,8076
"UI looks nice but I found the it to be a bit confusing. The relation between User, House Hunter and Realtor is not apparent. It would helpful if it could be explained in detail in the README file.",1173259,1,8076
The interface was simple. Some of the fields input were not mentioned like for creating house,1158166,1,8076
Requesting to GIT Link to verify the same. But i downloaded the Zipped file to see if there is admin credentials in README file and it was not there.,1161047,1,8076
The user interface is easy to use and the README file is explicit.,1156951,-1,8076
Great UI. Admin dashboard looks very professional.,1163556,-1,8076
"Controller test cases have been covered, but no model test cases can be seen.",1171422,1,8076
Tests exist for the controller but not models.,1157991,1,8076
Spec folder is not there. There are some tests in the test folder.,1173312,1,8076
I was able to check for the realtor and house hunter. Some of the functionality of a realtor and househunter weren't working.,1158219,1,8076
Requesting to GIT Link to verify the same,1161100,1,8076
Yes you have the tests written.,1157004,-1,8076
The basics test are written. Some application specific tests can be written.,1163609,-1,8076
There are only four commits visible and no proper commit messages. Initial commit has 228 file changes.,1171423,1,8076
All commits were made on one day,1173313,1,8076
Requesting to GIT Link to verify the same,1161101,-1,8076
It seems that there is only one team member pushing changes.,1157005,-1,8076
Looks like the team has committed the project as a whole. Bug fixes are done incrementally.,1163610,1,8076
"The project has successfully named it's varables and function names according to the principle. They are understandable form what the mean. But the project lacks any documentation internally, as well as a proper external readme file. Lack of code documentation makes it tough for the reviewer to make sense of the code. Apart from that, the design of the database schema isn't normalized to much extent, which makes data entries redundant.",1173485,1,8082
The model and controller are well designed. Each method covers a single functionality! Good job,1157436,-1,8082
The MVC structure is completed. and basic functions have been finished.,1168235,-1,8082
"From what I see it looks like code we have seen in class. Although in the model classes, they don't have any associations between models.",1156539,1,8082
"The code itself appears to be very clean. The lack of scaffolding (or the stripped down scaffolding that it presents) means there's a lot less dead code in the files. All the indentation and variable names appear to follow convention as well. This cleanliness, on further inspection, appear to stem from the fact that the application frequently does not support needed functionality. The code that's there is clean though.",1156449,1,8082
"Overall, the code looks fine. Good code is self-documenting - So, your code could be improved by adding comments in all required places. Make use of different logging options provided by ROR and avoid using ""puts"" in code.",1164130,1,8082
The Code is structured as per basic rails norms. The CRUD operations operations actions could have followed the usual norms than custom actions defined. The routes config could have been more efficiently defined using match than defining each routes separately.,1171481,1,8082
"All users have their own model controllers. The code is following Ruby on Rails standards but there are some debug ""puts"" that should be removed.",1161159,1,8082
"The user interface is very simple, clear and straightforward. But it lacks depth where it should have been extensive. For example, after signing up for the first time, the user is directed by to the login page to login again. This is not very user friendly, and is rather redundant. One must automatically sign in after creating an account. Also, the application should deduce whether I'm a realtor or a househunter or an admin from the email ID i entered. I should atleast now have to specify for househunter or realtor about my role.",1173487,1,8082
The UI is basic as of now. The 'show profile' link is broken.,1157438,1,8082
"the interface is good, clean and very easy to use.",1168237,-1,8082
They are simple links to pages which does tell you where to go so it's fine.,1156541,-1,8082
"All the buttons which do what they say they do are quite good. Quite reasonably, I can click on these buttons and the expected behavior occurs. It's a little weird to have to select whether I want to log in as a house hunter, a realtor, or the admin at the login screen, and that it doesn't work without selecting the right user type.   Unfortunately, many buttons do not do what they say, or redirect the application to a dead page. Here are the functionalities which do not work: 1. Attempting to delete Real Estate Company makes you view Real Estate Company detailed info. Inquiries do the same. 2. Attempting to 'show' anything that's not a real estate company throws a 406. 3. As a realtor, I tried to Update/add company information and my change was rejected. 4. The List a House form has 'create company' as its submit button.    There are also many things I expected to be able to do that there were not buttons or links for.",1156451,1,8082
The UI is elementary but intuitive. The links have long descriptive names,1171483,-1,8082
Yes it is deployed on Heroku.,1161161,-1,8082
"The login / signup module seems to be well tested of all the other models and controllers in the program. But this module has a drawback. It deals with three tables, the realtors, the househunters and the admin. Due to this kind of segmentation, there is a repetition of data i the database, if any user would like to signup as both. Also, it would make it difficult to handle complexity as the application grows. According to me, its better to atleast cascade the tables of realtors and house hunters into one.  The other functionalities are not wholly implemented, only the CRUD operations related to those are implemented, hence not much could be reviewed about testing.",1173540,1,8082
"The project needs validations on all fields (I was able to enter random values in email address, mobile number fields). Some of the additional functionalities were missing (filter inquiry, see who has added my house to their inquiry list etc). The project is well connected and navigation is easy. Overall it looks very clean and intuitive! ",1157491,1,8082
I don't think the test has been finished. the controller test file is basic empty and the same empty in the model test file.,1168290,1,8082
"No, not really. No user type has all the functionality in this review's check boxes, much less all the functionality specified in the project description. Manual inspection of the test folder reveals that all the model and controller tests are empty, as are the fixtures.",1156504,1,8082
"No, testing is not covered yet.",1164185,1,8082
"Yes, the team seems to have tested their UsersController completely that handles login, logout and other user signin validations",1171536,-1,8082
Admin and Realtor's functionalities are partially working. Many other features need to implement. ,1161214,1,8082
"The project only has 3 commits, all on  a single day. So yes, it can't be said that the project was implemented or developed over a period of time. ",1173541,1,8082
The code was presumable uploaded in the end (pushed from another repo) and hence I could not see any regular commits.,1157492,-1,8082
"I can not see the completed devolepment procedure, the only commit in the github is happend on Monday, the week of 9/30.",1168291,1,8082
No. They only have 3 commits and 1 branch so that means they waited until the last minute to do thi,1156595,1,8082
"I cannot appraise this because I do not believe they did their development in the linked repo. There is only one commit, where all the functionality was added. I am inclined to say the team was not actively developing over the project period.",1156505,1,8082
"In total, there are only 3 commits done!",1164186,-1,8082
"No, according to the Git history, there has not been no changes pushed after Oct 1st",1171537,1,8082
I could see only one person's commits. Each team member needs to contribute to Git.,1161215,1,8082
Some indentation issues in the project.For example in index.html.erb indentation is not proper. Splelling mistakes.For example in hunters view in index .html.erb  prefered spelling is wrong.,1157879,1,8087
The ruby coding convention has been followed through out the project.,1170452,-1,8087
"The team followed good practices. No repetition of the code. DRY principles uses. How, there is an empty controller though, which is, the commons_controller.rb. What is its purpose?",1160703,1,8087
"The MVC structure is good, but some details should  be improved.",1158368,1,8087
 Yeah in a way. The scaffolding generated code follows convention.,1175392,-1,8087
"The code follows the common ""Ruby on rails"" application structure:  Hence, it was easy for me to navigate through other files to see portion of the code. It follows the common MVC structure. However, In some parts of the code, comments were missing which was confusing as I didn't understand the logic for that code. README file was not properly described for other users navigating through app. ",1168064,1,8087
"The application is modled according to the ruby practices but lacks the use of ruby features such as validations , associations and active record. ",1163042,1,8087
Nothing mentioned in readme file. user interface not easy .just provided links for realtor creation. No link for house hunter.,1157881,1,8087
"Basic navigation is missing. For example, Once a user click on the edit profile and tries to navigate, its difficult to return to home page.  There are no details available in the readme file to help with the application flow.",1170454,1,8087
"Readme file is not updated and there are no instructions on how an admin or a house hunter can log in. The UI, though it didn't have any styling, is intuitive and self explanatory.  ",1160705,1,8087
"No, not really. The website just has one role to operate, and the readme file is an auto-generated file, which doesn't include any useful information.",1158370,-1,8087
"Nearly all of the links seem to go to the wrong pages. For example, ""Back"" in Viewing Houses took me to a list of Users that had signed up, while logged in as a Realtor.",1175394,1,8087
 Interface is very basic It lacks in many major functionalities that made the navigation through the site difficult. README was not well described to understand the team's work and their functionalities. ,1168066,1,8087
the README file is not maintained by the developer. The design is not complete. Whatever is done is intuitive but incomplete.,1163044,1,8087
No test cases have been implemented for any entity.,1170507,1,8087
"Yes, the controllers have been properly tested.",1160758,-1,8087
" There are some tests for the controllers, but it looks like just the scaffold generated tests.",1175447,-1,8087
"The team has implemented modules like: Login, signup, logout, List all companies and List all houses. However, they lack in many functionalities and under each module. So they are not properly implemented. They lack validations, session management and things like multiple same email addresses can be registered with different users.   Hence, no the team has not thoroughly tested at least one model or controller.",1168119,1,8087
only the default testcases created by the command are present in the repository.,1163097,-1,8087
"There are 24 commits done, however all have been made on one day.",1170508,-1,8087
There are no proper commit messages.,1160759,1,8087
"No, I just see all commits happened in one day, so I don't think the team has been keeping on pushing their changes.",1158424,1,8087
" No, there has been only one commit on 10/01.",1175448,-1,8087
"No, The changes were made and pushed only in one particular day. There is no consistent flow on GitHub for pushing.",1168120,1,8087
All the changes were pushed on a single day. the last day of submission.,1163098,1,8087
"The models, views and controllers have been properly designed and implemented.",1174936,-1,8055
Most of the practices have been followed,1159690,-1,8055
"The ruby source code appears to follow RoR conventions, and uses a few Rails associations. The directory names and project structure appear to follow good RoR MVC conventions. Source code is organized and uncluttered too.",1167665,-1,8055
The code is neat and precise with proper structure and comments,1164836,-1,8055
"Very good structure, readable and names are very relevant to the functionality",1172222,-1,8055
The code is written really well.,1165941,-1,8055
"The overall UI is good, but there can be some improvements made on the admin part of the app. We need to change the link manually to end up at the admin dashboard.",1159692,1,8055
"The UI is mostly easy to use, but the README is nearly undocumented.",1167667,1,8055
Good design and easy to use.,1167316,-1,8055
The deployed link is not accessible. The readme file describes the process for just admin login but not for the consequent steps. ,1162218,1,8055
The UI is straight forward and easy to use. The implementation of the menu bar makes it look better. Though there is a scope for improvement. The admin link in the Readme file is not working.,1164838,1,8055
"nice user interface, good use layouts. but unable to log in as admin,",1172224,1,8055
UI is nicely done.  There are a few things that can be improved:  1. Clear all / list all houses field once a search parameter has been given 2. Do not show receiver object id in inquiries. Maybe something more useful.,1165943,1,8055
Controller has been tested  ,1159745,-1,8055
"They tested at least one controller, but none of the models.",1167720,1,8055
"The team has added functionality for login through google sign-in, but I couldn't verify it's working.  ",1162271,1,8055
the realtor and house hunter controllers work as desired in most cases though there are some cases which need to be addressed. There is a need to validate the real estate creation form.,1164891,1,8055
extensive testing was done,1172277,-1,8055
Yes.,1165996,-1,8055
Team was active thoughout the process,1159746,-1,8055
"No, the majority of the work was pushed on 09/29. It is an impressive product if they got all of this done in the past week.",1167721,-1,8055
There are many commits which are divided almost equally between all teammmates,1164892,-1,8055
yes about 75  commits were done,1172278,-1,8055
Code commit frequency is good.,1165997,-1,8055
The code is very well written and arranged to be easily understandable. No extraneous code or unused code visible. DRY principles have been implemented very well.,1159234,-1,8022
Very clearly code,1167950,-1,8022
"I think it does pretty well to follow the ""good Ruby and Rails coding practices"". It is elegant and follows the DRY code approach.",1176815,1,8022
This team has followed the basic structure followed in every ruby on rails application which made my task easier to access files and understand their logic. Properly described README file and also one additional pdf given with application was enough to give me proper understanding of the modules.,1176576,-1,8022
ReadMe file contains enough information to understand the project implementation basics.,1159236,-1,8022
Please directly tall users where to sign up.,1167952,-1,8022
The user interface is very intuitive and easy to use. It is very well explained in the README file. The steps to run the code are described as well.,1176817,-1,8022
"Yes, the user interface is intuitive and easy to use. also, the README file has been perfectly described to give the proper idea of the flow and login credentials of an admin.",1176578,-1,8022
Basic scaffold generated tests available.,1159289,-1,8022
"Yes, from what I could see, they have done well in testing at least one model and one controller.",1176870,-1,8022
"Team has perfectly implemented major modules and also they have implemented the extra credit portion. I tried to login with invalid credentials or some invalid password-email-phone lengths: but there were validations. Hence, they have perfectly focused on this parts too and tested it.   I believe this has implemented a through test of at least one module and controller.",1176631,-1,8022
Several linear commits with good explanations available.,1159290,-1,8022
"Tem has properly used Git and only pushed the changes when necessary and also, consistently throughout the project period.",1176632,-1,8022
Well written code.,1163845,-1,8071
Not a lot of code to begin with but whatever is there seems by coding practice norms. Most of the code seems to be commented,1160396,-1,8071
The code base is very minimum. Many functionalities are not implemented.,1166757,1,8071
"Yes partially, the code has the parameters not well defined for all only one conceivable user seemingly admin and that too is doubtful to have the correct MVC Layout.  For instance, they seem to have created separate MVC architectures for Admins, Companies and Users only. This goes to show that they are lacking in a layered approach on access and privileges.  Also, the code is written in a reasonably clean and formatted style with the variable definitions to be self-explanatory of the functionalities they perform in most cases for whichever few roles defined. ",1162159,1,8071
"The code is properly written with good Ruby practices, however, no comments are mentioned.",1176019,1,8071
"It seems as though you have an awful lot of controllers that are supposed to have something to do with authentication that either don't get used or don't have any code in them. Other than that, the project looks organized like a Ruby on Rails project should be. There is a lot of code that is hard to follow, and I can't discern its purpose in several controllers.",1170911,1,8071
"Yes, the code follows good Ruby and Rails coding practices as the models, views and controllers are well defined",1159166,-1,8071
Readme not well defined,1163847,1,8071
"The login opens the user page which has which has 5 ""back"" links for some reason and they do not do anything. No common home page for all the list views. Have to all the list views go from user pages. List of companies is not in tabulated form, thus very difficult to read",1160398,1,8071
I cannot create any hunter or realtor accounts.,1166759,1,8071
This UI is pretty good. It's fairly intuitive to follow. The only thing I'd recommend is to have a link to the signup page on your welcome screen.,1170913,1,8071
There is a scope of improvement by eliminating multiple 'back' links on each page.,1159168,1,8071
Readme file is absent.,1175451,1,8071
"Admin -  Not able to create a Real estate company - loads error page After creating a new user, not able to see the user in the list Couldn't find sign up for a realtor/House hunter - throwing an error -   Company must exist  This is because of the foreign key reference and while creating the user there is no field to select one so it gets an empty or nil value. No houses and inquiries functionality created yet. Not able to check the functionalities of house hunter and realtor as was not able to sign up for that user because of the above error",1162332,1,8071
"It is not a very intuitive user interface because the ease of navigation not achieved in it due to the ill defined 'db' folders and the routes.rb file in git hub makes the session linkage a bit hard to follow.  Also, I fail to understand the structural flow of the program even after logging in after signing up. So, I get easily confused on what to do. Sign up is not validated for any functionality be it user or admin or realtor and we don't know what to do and that are we admins or any other user. Privilege separation has not been done. Also, the README barely resolve the dilemma and is of minimal help to us to follow the steps. ",1162161,1,8071
"The interface is preliminary, but is easy to understand.",1176021,-1,8071
"Doesn't seem like it. only user and company part have been implemented and I was able to delete the admin user easily,and in the company edit view for e.g year input doesn't check for a valid year(398343 is a valid year). Therefore it has not been thoroughly tested",1160451,1,8071
"There seems to be many functionalities missing. I cannot register as hunter or realtor. Hunter, Realtor, Interest of Buying, Inquiries ...These model do not appear to be in the folder app/models/... Seems to be an incomplete project, unless the previous reviewer cracked the system.",1166812,1,8071
"Functionalities are incomplete, while able to log in through admin, cannot edit or create any other user because of the error.",1162385,1,8071
"No, that doesn't seem to be the case since, it has been a very jumpy approach and also the functionality of only a basic login has been added. So, if adding the bare login and sign up is considered as an MVC architecture then they have surely built a bare backbone of it. ",1162214,1,8071
The team hasn't yet implemented any proper testing,1176074,1,8071
"the User model has been tested, although I can't say it is thorough at this point, as it only tests the validity that is already required by the model.",1170966,1,8071
"The admin functionality is tested well, however there are some fields like validations of phone number which are yet to be tested or improved upon",1159221,-1,8071
Functionalities of admins are working.Though many other functionalities are yet to be implemented.,1175504,-1,8071
"There are only ten commits and that too only from one account, which means it has only been done by one individual and not a team.",1160452,1,8071
I did see updates and commits 15 hours ago.,1166813,-1,8071
"Yes, added the working functionalities timely.",1162386,-1,8071
"Yes, seems to be so the case in effect the last commit being just 5 hrs ago. But what changes against each file have been made is not clear hence its a bit unclear as to the extent and the number of changes made. Moreover, the amount of subject matter and the number of sessions or models are far too less to be implementing any changes as such. ",1162215,1,8071
The team has been pushing commits in a way that shows they have been making consistent progress on the project.,1170967,-1,8071
"Yes, they have around 21 commits.",1159222,-1,8071
I could see commits by only one person. Need team contribution.,1175505,1,8071
Most files seem to be following good coding practices.,1160931,-1,8080
The readme file is well constructed. MVC files are properly made and easy to navigate. DB migrations can be seen easily as well. Overall good job done on this part.,1173542,-1,8080
The app was designed according to the ruby conventions and coding practices. The necessary authorizations are used along with gems to handle user session. Some models do not have the complete validations but the validations in place are using the ruby practices. The active record and association between models is also used in the project. ,1158221,1,8080
Fairly good coding practices followed.,1169463,-1,8080
"UI is easy to use, a suggestion would be to display tables of data better, with better spacing (the list houses page for example has the columns cramped up together)",1160933,1,8080
"The User Interface is very intuitive. The idea to add a field for preferred contact is very smart and relevant. Displaying the number of registered users, however, seems irrelevant to the house hunter and realtor. Perhaps this can be a function of the admin account where it would be more relevant.",1169123,1,8080
The UI is well built as well. Specially the navigation bar at the top is a delight in terms of User experience.,1173544,-1,8080
"No, the README file tells me what I should do to test in local computer, and does not offer admin's information or any instruction of how to operate when login to the website.",1173829,1,8080
"Yes the UI is pretty smooth and a person can navigate freely. However, in some cases there is no ""back"" link in the web-page, so the user has to use browser navigation to go to the previous page.",1168294,1,8080
The design lacks dynamic paging for different users. all the links are visible to all the users and upon clicking the links an error comes that you are not authorized to perform the action. Ideally only relevant links should be visible to the user. It confuses the user regaring the actions he/she can perform. The user needs to perform all the actions visible in the UI to know what are the actions relevant for him/her. The readme file also is not well described about the actions that can be performed by the user. The readme file currently lacks any relevant information.,1158223,1,8080
"I could only check househunter UI. Since I could not find admin and realtor code on github either, I believe you are yet to implement the functionality.  The UI I viewed was easy to use. Further site is responsive and incorporates several new features like requiring password for editing the profile. I guess that was work of a gem, but either way, good work!",1169465,1,8080
Yes. The controller and model for handling inquiries have been thoroughly tested.,1173597,-1,8080
Extra credit features have not been implemented. No google sign-in and no email replies ,1168347,1,8080
The default testcases are present for some controllers. All the functionalities test are not present for the controllers. The models are not testes.,1158276,0,8080
Could not find custom tests.,1169518,1,8080
"With a total of 77 commits, the team has actively pushed changes to the project. Although not all commits are labeled very accurately, it is still easy to comprehend the pushed changes.",1169177,1,8080
"The team kept on pushing changes throughout the project period, showing timely contributions from each team member. In fact, by looking at the commits, each team member was probably assigned a dedicated module to work on, which always works well to create such a big application.",1173598,-1,8080
"Yes, through the commit record, I can see that this team has been keeping pushing their changes.",1173883,-1,8080
"There are more than 70 commits , and they have been working continously",1168348,-1,8080
There were regular commits during the course of the project.,1158277,-1,8080
Fairly frequent commits to GIT.,1169519,-1,8080
"Just one table is used for all users. Therefore there is no distinction among the admin, realtor and the house_hunter",1165805,1,8034
"Not much functionality is available. Of what is available, however, the code does follow ""good Ruby and Rails coding practices""",1158881,-1,8034
The code there seems to be well organized. But the problem is that many functionalities are missing and there aren't too much code in models and controllers.,1167200,1,8034
Code is using Basic Ruby on Rails Structure which by default provides the CRUD Functionalty. But no details of Admin login provided. Also some of the models seem to be missing.,1159804,1,8034
The code is well written. I noticed the controller for inquiries is well written but it is unclear how to access all those functionalities from the front-end.,1173200,1,8034
"The code is very neat and easy to read, but i can tell it is the auto generated code from scaffold. ",1176190,-1,8034
User interface should not show the location Users#dashboard   Find me in app/views/users/dashboard.html.erb,1172167,1,8034
"The application has bare minimum functionalities of what was required. A user signup and login has been implemented, but no information about what type of user has signed up/ logged in is available. ReadMe file is the default and no changes have been made to it.",1158883,1,8034
"The application portal is same for all the 3 users. Therefore all users have been given same permissions.   ReadMe does not contain admin credentials . Hence, can't test admin functionalities",1165807,1,8034
No admin account provided. No user role selections. Seems to be an incomplete project. Looks like they use scaffolding to generate the templates but didn't fill in the necessary code.,1167202,1,8034
"UI displays session info, file paths and # tags. Could be improved with little efforts",1159806,1,8034
"No information for admin login credentials provided anywhere. Under signing-up, no option to sign up as a realtor or a hunter is given. They should be able to do that because otherwise the functionalities aren't being differentiated for a hunter and a realtor. ",1173202,1,8034
"The application is deployed on Heroku, and the user interface is easy to use.",1176192,-1,8034
"The implementation can only log one type of user on and even though not specified, the user has all controls so it can be assumed its an admin. Admins can signup as well.",1158936,1,8034
There is just one user role in the current submission. Unable to test the admin functionality,1165860,1,8034
No roles implemented. ,1167255,-1,8034
Basic Tests are present. Not custom tests though,1159859,-1,8034
"No, none of the controllers or models have been tested.",1173255,1,8034
"Actually i did find some auto generated test code for the controllers, but i don't think it is a thoroughly test. And there is no test code for the model.",1176245,1,8034
total of 10 commits are visible on got but do not show a linear increment in the work done.,1158937,1,8034
Yes. Good effort in case of pushing changes,1165861,-1,8034
No updates since 6 days ago,1167256,-1,8034
Only on 2 days all together,1159860,-1,8034
Total of only 10 commits has been made on 3 days.,1173256,1,8034
"I looked through their github commits log, and found that their first commit is on Sep 28,2018. Maybe their just began to do the project on Sep 28?",1176246,1,8034
Well written code.,1163845,-1,8112
Not a lot of code to begin with but whatever is there seems by coding practice norms. Most of the code seems to be commented,1160396,1,8112
The code base is very minimum. Many functionalities are not implemented.,1166757,1,8112
"Yes partially, the code has the parameters not well defined for all only one conceivable user seemingly admin and that too is doubtful to have the correct MVC Layout.  For instance, they seem to have created separate MVC architectures for Admins, Companies and Users only. This goes to show that they are lacking in a layered approach on access and privileges.  Also, the code is written in a reasonably clean and formatted style with the variable definitions to be self-explanatory of the functionalities they perform in most cases for whichever few roles defined. ",1162159,1,8112
"The code is properly written with good Ruby practices, however, no comments are mentioned.",1176019,1,8112
"It seems as though you have an awful lot of controllers that are supposed to have something to do with authentication that either don't get used or don't have any code in them. Other than that, the project looks organized like a Ruby on Rails project should be. There is a lot of code that is hard to follow, and I can't discern its purpose in several controllers.",1170911,1,8112
"Yes, the code follows good Ruby and Rails coding practices as the models, views and controllers are well defined",1159166,-1,8112
Readme not well defined,1163847,1,8112
I cannot create any hunter or realtor accounts.,1166759,1,8112
"Admin -  Not able to create a Real estate company - loads error page After creating a new user, not able to see the user in the list Couldn't find sign up for a realtor/House hunter - throwing an error -   Company must exist  This is because of the foreign key reference and while creating the user there is no field to select one so it gets an empty or nil value. No houses and inquiries functionality created yet. Not able to check the functionalities of house hunter and realtor as was not able to sign up for that user because of the above error",1162332,1,8112
"It is not a very intuitive user interface because the ease of navigation not achieved in it due to the ill defined 'db' folders and the routes.rb file in git hub makes the session linkage a bit hard to follow.  Also, I fail to understand the structural flow of the program even after logging in after signing up. So, I get easily confused on what to do. Sign up is not validated for any functionality be it user or admin or realtor and we don't know what to do and that are we admins or any other user. Privilege separation has not been done. Also, the README barely resolve the dilemma and is of minimal help to us to follow the steps. ",1162161,1,8112
"The interface is preliminary, but is easy to understand.",1176021,-1,8112
This UI is pretty good. It's fairly intuitive to follow. The only thing I'd recommend is to have a link to the signup page on your welcome screen.,1170913,1,8112
There is a scope of improvement by eliminating multiple 'back' links on each page.,1159168,1,8112
Readme file is absent.,1175451,1,8112
"Doesn't seem like it. only user and company part have been implemented and I was able to delete the admin user easily,and in the company edit view for e.g year input doesn't check for a valid year(398343 is a valid year). Therefore it has not been thoroughly tested",1160451,1,8112
"There seems to be many functionalities missing. I cannot register as hunter or realtor. Hunter, Realtor, Interest of Buying, Inquiries ...These model do not appear to be in the folder app/models/... Seems to be an incomplete project, unless the previous reviewer cracked the system.",1166812,1,8112
"Functionalities are incomplete, while able to log in through admin, cannot edit or create any other user because of the error.",1162385,1,8112
"No, that doesn't seem to be the case since, it has been a very jumpy approach and also the functionality of only a basic login has been added. So, if adding the bare login and sign up is considered as an MVC architecture then they have surely built a bare backbone of it. ",1162214,1,8112
The team hasn't yet implemented any proper testing,1176074,1,8112
"the User model has been tested, although I can't say it is thorough at this point, as it only tests the validity that is already required by the model.",1170966,1,8112
"The admin functionality is tested well, however there are some fields like validations of phone number which are yet to be tested or improved upon",1159221,1,8112
Functionalities of admins are working.Though many other functionalities are yet to be implemented.,1175504,1,8112
"There are only ten commits and that too only from one account, which means it has only been done by one individual and not a team.",1160452,1,8112
I did see updates and commits 15 hours ago.,1166813,-1,8112
"Yes, added the working functionalities timely.",1162386,-1,8112
